,current_day,cloud,temp_max,temp_min
703,2020-12-4,mostly sunny,13°,2°
704,2020-12-5,mostly sunny,11°,-1°
705,2020-12-6,mostly sunny,10°,-3°
706,2020-12-7,mostly sunny,8°,2°
707,2020-12-8,scattered showers,11°,3°
708,2020-12-9,mostly sunny,11°,3°
709,2020-12-10,cloudy,7°,1°
710,2020-12-11,cloudy,7°,0°
711,2020-12-12,mostly sunny,14°,2°
712,2020-12-13,mostly sunny,15°,3°
713,2020-12-14,cloudy,13°,3°
714,2020-12-15,cloudy,14°,11°
715,2020-12-16,cloudy,15°,10°
716,2020-12-17,cloudy,15°,12°
717,2020-12-18,cloudy,16°,12°
718,2020-12-19,cloudy,15°,14°
719,2020-12-20,cloudy,14°,6°
720,2020-12-21,cloudy,12°,3°
721,2020-12-22,foggy,12°,6°
722,2020-12-23,cloudy,13°,8°
723,2020-12-24,mostly sunny,14°,9°
724,2020-12-25,mostly sunny,11°,5°
725,2020-12-26,mostly sunny,10°,0°
726,2020-12-27,mostly sunny,5°,-4°
727,2020-12-28,mostly sunny,12°,5°
728,2020-12-29,mostly sunny,11°,4°
729,2020-12-30,mostly sunny,11°,2°
730,2020-12-31,mostly sunny,10°,1°
